證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"911868","同方友友-DR","43000","49390","1.16","1.16","1.14","1.14","-0.0200","13"
"912000","晨訊科-DR","139000","333520","2.41","2.42","2.38","2.38","-0.0200","54"
"9136","巨騰-DR","451000","2958450","6.31","6.65","6.31","6.65","0.2900","96"
"9802","鈺齊-KY","1043000","159451500","152.00","154.50","151.00","152.00","0.0000","807"
"9902","台火","297000","3864600","12.85","13.20","12.85","13.00","0.1500","150"
"9904","寶成","8629000","280427100","32.30","32.70","32.20","32.40","0.1000","2905"
"9905","大華","26000","637250","24.45","24.55","24.45","24.50","-0.0500","12"
"9906","欣巴巴","32000","1427350","44.90","44.90","44.40","44.55","-0.3000","28"
"9907","統一實","3357000","60824500","17.95","18.35","17.85","18.00","0.0500","1176"
"9908","大台北","45000","1415600","31.45","31.65","31.40","31.50","-0.2000","30"
"9910","豐泰","604000","113475500","188.00","189.00","184.50","188.50","2.5000","427"
"9911","櫻花","95000","5939500","63.00","63.00","62.20","62.90","0.2000","86"
"9912","偉聯","34000","327970","9.70","9.70","9.60","9.61","-0.1400","24"
"9914","美利達","466000","87445500","190.00","190.00","185.00","188.50","0.5000","366"
"9917","中保科","265000","25978700","97.90","98.90","97.40","98.90","1.0000","208"
"9918","欣天然","","","","","","","0.0000",""
"9919","康那香","7273000","125932350","17.50","17.60","17.05","17.25","-0.1500","1110"
"9921","巨大","599000","136546000","227.00","230.00","226.00","228.00","1.0000","446"
"9924","福興","165000","6851700","41.50","41.75","41.35","41.60","0.1000","108"
"9925","新保","155000","6060650","39.00","39.20","39.00","39.05","-0.1000","101"
"9926","新海","","","","","","","0.0000",""
"9927","泰銘","206000","7736050","37.80","37.95","37.35","37.65","-0.1500","126"
"9928","中視","282000","6048200","21.30","22.30","21.05","21.50","0.1000","160"
"9929","秋雨","27000","231990","8.63","8.65","8.50","8.54","-0.1000","14"
"9930","中聯資源","28000","1279450","45.80","45.80","45.50","45.65","-0.1500","26"
"9931","欣高","4000","156000","39.00","39.00","39.00","39.00","-0.0500","3"
"9933","中鼎","7565000","325256200","42.05","43.90","42.05","42.15","0.1000","4019"
"9934","成霖","1130000","15586300","14.10","14.10","13.45","13.80","-0.2500","388"
"9935","慶豐富","63000","1106350","17.60","17.65","17.50","17.65","0.0500","38"
"9937","全國","17000","870500","51.40","51.40","51.00","51.00","-0.4000","14"
"9938","百和","628000","34074500","54.30","54.90","53.60","54.50","0.0000","475"
"9939","宏全","1031000","86506700","83.60","84.50","82.90","84.10","0.5000","680"
"9940","信義","100000","2871250","28.60","28.90","28.55","28.85","0.3000","78"
"9941","裕融","796000","125456500","158.50","160.00","155.50","157.50","-0.5000","610"
"9941A","裕融甲特","15000","753700","50.20","50.30","50.20","50.30","0.1000","9"
"9942","茂順","878000","99505500","112.50","116.00","111.00","111.00","-1.5000","617"
"9943","好樂迪","32000","2027100","63.50","63.80","63.10","63.20","-0.3000","27"
"9944","新麗","143000","2946250","20.60","20.65","20.50","20.60","-0.0500","40"
"9945","潤泰新","11136000","509978150","45.95","46.30","45.20","45.60","-0.8500","5499"
"9946","三發地產","72000","888100","12.30","12.40","12.25","12.35","0.0000","47"
"9955","佳龍","595000","12032050","20.60","20.60","19.85","20.25","-0.2000","325"
"9958","世紀鋼","7582000","666062200","89.60","90.90","85.70","85.90","-4.3000","4347"
